address,lat,long,name
"545 Orchard Road, Far East Shopping Centre #05-13, Singapore 238882",1.305555,103.830018,Qisahn.com
"Century Square #03-10, 2 Tampines Central 5 (S)529509, Singapore 529509",1.3526003,103.9437262,Game Store
"Unit 03-01 Midpoint, 220 Orchard Rd, Singapore 238852",1.301827,103.838489,Games @ PI
"#07-12A, 68 Orchard Rd, Plaza Singapura, Singapore 238839",1.300656,103.844934,Gaming Era
"888 Woodlands Drive 50, #01-K3 Plaza 888, Singapore 730888",1.436988,103.795137,Game Addict
"930 Yishun Avenue 2, #03-10/11 Northpoint Shopping Centre, Singapore 769098",1.4296976,103.8357565,Zepy Games
"#02-04, 30 Sembawang Dr, Sun Plaza, Singapore 757713",1.44826,103.819504,Game Resort
"3151 Commonwealth Ave W, Singapore 129581",1.314232,103.7649587,Empire Games
"458 Pasir Ris Drive 4, Singapore 510458",1.3719838,103.9603771,Xiao P E-Play
"3 Simei Street 6, Eastpoint Shopping Centre, Singapore 528833",1.34275,103.952924,GameXtreme
"Blk 443 Clementi Avenue 3, #01-81, Singapore 120443",1.3144407,103.7642293,Gamewerks
"109 North Bridge Rd, Funan, Singapore 179097",1.2912495,103.8503284,G3
"Orchard Rd, Spageddies, Singapore 238896",1.3007676,103.8397563,Funzcentre - Orchard Outlet
"181, Singapore",1.3007666,103.8393858,Funz Centre
"132 Jurong Gateway Rd, Singapore 600132",1.3343737,103.739875,Thousand Taste Trading
"109 North Bridge Rd, #05-47 Funan DigitaLife Mall, Singapore 179097",1.2914669,103.8498918,Gamescore @ Funan
"Junction, State Rd S-8-35, Singapore 579837",1.350511,103.849002,GameMartz
"Hougang Mall, Singapore 538766",1.372259,103.893967,EPlay Modern Gaming
"509 Bishan Street 11, Singapore 570509",1.348628,103.8495773,War Games
"53 Ang Mo Kio Ave 3, Singapore 569933",1.3692879,103.8480881,Funz Centre Pte Ltd
"1 Maritime Square, #03-58 HarbourFront Centre, Singapore, Singapore 099253",1.264757,103.82005,TOYTAG
"1 Jelebu Road, #04-07, Bukit Panjang Plaza, Singapore 677743",1.3787771,103.7695086,Game Master
"259A Upper Thomson Rd, Singapore 574386",1.3534263,103.8334717,Gamersaurus Rex
"109 North Bridge Rd, Unit 05-02, Funan DigitaLife Mall,, Singapore 179097",1.2912495,103.8503284,The Gaming World
"181 Orchard Road, #05-45 Orchard Central, Singapore 238896",1.3007972,103.8392021,Roomraider
"33 Sengkang West Ave, Singapore 797653",1.3914905,103.8761546,Gamescore @ Seletar Mall
"82 Marine Parade Central, Singapore 440082",1.302532,103.9067367,Generation Games
"14 Scotts Road, #02-60 Far East Plaza, Singapore 228213",1.3071719,103.8336538,FunzSquare
"2 Jurong East Central 1, Singapore 609731",1.33352,103.740277,GameMartz
"6 Eu Tong Sen St, Singapore 059817",1.2891689,103.8466301,RJ Board Games Rejuvenate
"Tampines mall, no. 4, Tampines Central 5, #04-08 S529510, Singapore",1.329913,103.83522,Gamestore
"1 Bukit Batok Central Link, Singapore 658713",1.349649,103.749107,Funco Gamez
"68 Orchard Road, #03-04, Singapore 238839",1.300614,103.8451045,Build-A-Bear Workshop
"Woodlands Square, Causeway Point, Singapore 738099",1.436319,103.7862414,Playcraft
"L2, 23 Serangoon Central, Singapore 556083",1.3506285,103.871787,Zepy Games
"51 Yishun Central 1, #01-05 Golden Village, Singapore 768794",1.430014,103.836348,GameXtreme @Yishun
"63 Jurong West Central 3, Singapore 648331",1.3396922,103.7057661,Mega Multimedia
"61 Ang Mo Kio Ave 8, Singapore 569814",1.3718989,103.8480004,Jubilee Game Connection
"177 Toa Payoh Central, Singapore 310177",1.3339856,103.848385,K.H Time Trading
"61 Ang Mo Kio Ave 8, 13, Singapore 569814",1.3716647,103.8477805,War Games
"#02-7/18, HarbourFront Centre, 1 Maritime Square, Singapore 099253",1.2635686,103.8210775,Build-A-Bear Workshop
"112 E Coast Rd, Singapore 428802",1.305511,103.904622,Funzcentre - Katong Outlet
"23 Serangoon Central, Singapore 556083",1.3504637,103.873286,MCKY Unlimited & Build A Bear Workshop
"13/15 Jln Besar, Singapore 208790",1.303929,103.854338,Seow Choon Games Specialist Pte Ltd
"1 Fusionopolis Way, Singapore 138632",1.299622,103.787656,Paradigm Infinitum - Fusionopolis
"180B Bencoolen St, Singapore 189648",1.3018523,103.8528807,Lego Singapore Pte. Ltd.